"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,Rest of World,Albanian,254.78,97.53,28.53,3.00,1.00,5.00,0.00,7.60,9.53,1.00,1.00,0.00,0.40,50.91,2.00,0.00,16.10,107.81,79.06,3.00,25.75,49.45,0.00,1.00,12.60,35.85,0.00
Jun-26,FTE,Rest of World,Algerian,172.00,47.94,27.53,1.00,0.80,1.00,0.00,8.92,13.81,0.00,2.00,0.00,0.00,8.21,0.00,1.00,11.20,67.35,49.04,0.85,17.47,56.70,0.00,0.00,9.90,46.80,0.00
Jun-26,FTE,Rest of World,American,1657.72,989.96,293.84,60.26,3.39,16.90,1.00,79.03,62.68,24.24,44.95,0.40,1.00,272.18,18.00,12.00,393.94,379.51,229.21,19.02,131.28,288.25,11.80,49.81,191.79,34.84,0.00
Jun-26,FTE,Rest of World,Andorran,1.58,1.58,0.66,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Angolan,42.44,7.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,0.00,1.00,2.00,24.04,19.04,2.00,3.00,10.60,0.00,0.00,3.00,7.60,0.00
Jun-26,FTE,Rest of World,Anguillan,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,Rest of World,Antiguan,30.39,21.60,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,18.60,0.00,0.00,1.00,4.00,3.00,1.00,0.00,4.79,0.00,0.00,2.00,2.79,0.00
Jun-26,FTE,Rest of World,Argentine,75.79,51.53,36.60,10.80,1.00,6.80,0.00,11.00,6.00,1.00,0.00,0.00,0.00,4.73,0.00,1.00,9.20,13.88,9.88,0.00,4.00,10.37,1.20,0.00,5.77,3.40,0.00
Jun-26,FTE,Rest of World,Armenian,18.63,12.81,9.81,1.00,1.00,0.00,0.00,2.81,4.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,4.82,2.00,1.00,1.82,1.00,0.00,0.00,1.00,0.00,0.00
Jun-26,FTE,Rest of World,Aruban,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
